id,title,year,month,day,hour,minute,url,link
0,引领中俄关系继续保持高水平发展--国际--人民网,2018,9,11,5,38,http://world.people.com.cn/n1/2018/0911/c1002-30284709.html,7
1,财经观察：中俄远东合作势头良好--国际--人民网,2018,9,10,19,32,http://world.people.com.cn/n1/2018/0910/c1002-30284576.html,8
2,中俄携手打造东北亚共赢走廊--国际--人民网,2018,9,10,8,41,http://world.people.com.cn/n1/2018/0910/c1002-30282777.html,7
3,俄国家杜马三读通过在俄远东设立特别行政区--国际--人民网,2018,7,28,2,31,http://world.people.com.cn/n1/2018/0728/c1002-30175126.html,7
4,第五届远东媒体峰会在俄罗斯举行--国际--人民网,2018,6,13,4,34,http://world.people.com.cn/n1/2018/0613/c1002-30053562.html,7
5,俄政府表示将力促俄远东实现跨越式发展--国际--人民网,2018,4,17,20,10,http://world.people.com.cn/n1/2018/0417/c1002-29932510.html,7
6,联合国召开一带一路倡议引领全球化2.0高级别研讨会--国际--人民网,2017,4,13,8,53,http://world.people.com.cn/n1/2017/0413/c1002-29208064.html,8
7,俄远东地区两年吸引投资250亿美元--国际--人民网,2017,3,15,16,20,http://world.people.com.cn/n1/2017/0315/c1002-29147593.html,8
8,“一带一路”合作促进东北亚和平发展--国际--人民网,2018,9,9,13,45,http://world.people.com.cn/n1/2018/0909/c1002-30281651.html,8
9,谱写中俄友好合作新篇章--国际--人民网,2018,9,8,5,24,http://world.people.com.cn/n1/2018/0908/c1002-30280431.html,6
10,乌干达与中国合作成果显著--国际--人民网,2018,9,3,5,18,http://world.people.com.cn/n1/2018/0903/c1002-30266926.html,8
11,【专家谈】深耕中东欧 共推“16+1合作”行稳致远--国际--人民网,2018,7,10,9,58,http://world.people.com.cn/n1/2018/0710/c1002-30137689.html,3
12,专访：三大因素促进中俄及欧亚经贸发展——访俄科学院远东研究所副所长乌亚纳耶夫--国际--人民网,2018,5,24,15,8,http://world.people.com.cn/n1/2018/0524/c1002-30011653.html,2
13,一带一路税收合作会议发布联合倡议--国际--人民网,2018,5,17,5,2,http://world.people.com.cn/n1/2018/0517/c1002-29995147.html,8
14,友好·合作·共赢丝路论坛在哈萨克斯坦举行--国际--人民网,2018,9,8,14,23,http://world.people.com.cn/n1/2018/0908/c1002-30280914.html,8
15,韩国依托港口打造经济自由区--国际--人民网,2018,8,29,4,34,http://world.people.com.cn/n1/2018/0829/c1002-30256957.html,8
16,丝路基金为共赢架金桥（新征程新篇章）--国际--人民网,2018,3,27,8,10,http://world.people.com.cn/n1/2018/0327/c1002-29890531.html,7
17,跨里海东西贸易运输走廊国际会议在京举行--国际--人民网,2018,2,7,9,51,http://world.people.com.cn/n1/2018/0207/c1002-29810815.html,8
18,“丝路城市走廊” 打造“一带一路”互联互通主平台--国际--人民网,2017,3,13,17,13,http://world.people.com.cn/n1/2017/0313/c1002-29142720.html,6
19,中巴经济走廊，掀开互联互通新篇章（国际视点）--国际--人民网,2016,11,15,3,9,http://world.people.com.cn/n1/2016/1115/c1002-28860301.html,5
20,巴基斯坦瓜达尔港正式启用 首批中国货船出海--国际--人民网,2016,11,14,8,53,http://world.people.com.cn/n1/2016/1114/c1002-28858255.html,6
21,俄议会上院批准2018年预算修正案--国际--人民网,2018,6,28,13,43,http://world.people.com.cn/n1/2018/0628/c1002-30093819.html,8
22,回应美方制裁 俄国家杜马酝酿对美反制法案--国际--人民网,2018,4,15,10,29,http://world.people.com.cn/n1/2018/0415/c1002-29926585.html,8
23,俄罗斯专家研制出人参巧克力 美味与养生兼具--国际--人民网,2018,3,22,7,26,http://world.people.com.cn/n1/2018/0322/c1002-29881701.html,3
24,中俄地方合作大有可为（钟声）--国际--人民网,2018,2,8,4,33,http://world.people.com.cn/n1/2018/0208/c1002-29811938.html,8
25,中国驻哈巴罗夫斯克总领事馆举办“欢乐春节·春节庙会”活动--国际--人民网,2018,2,7,16,42,http://world.people.com.cn/n1/2018/0207/c1002-29811738.html,6
26,朝鲜宣布在平壤设立江南经济开发区--国际--人民网,2017,12,23,22,37,http://world.people.com.cn/n1/2017/1223/c1002-29725228.html,7
27,上合组织青岛峰会新闻中心举行首场新闻发布会 聚焦执法安全合作--国际--人民网,2018,6,9,9,9,http://world.people.com.cn/n1/2018/0609/c1002-30047205.html,7
28,王毅谈中非合作论坛北京峰会--国际--人民网,2018,6,4,22,18,http://world.people.com.cn/n1/2018/0604/c1002-30035256.html,7
29,弘扬“上海精神” 开启媒体合作新时代--国际--人民网,2018,6,2,4,59,http://world.people.com.cn/n1/2018/0602/c1002-30030007.html,6
30,吸引中国游客，俄罗斯推出便利化举措--国际--人民网,2018,4,27,10,10,http://world.people.com.cn/n1/2018/0427/c1002-29954494.html,3
31,普京赢得俄罗斯总统选举--国际--人民网,2018,3,20,6,6,http://world.people.com.cn/n1/2018/0320/c1002-29876951.html,7
32,平昌冬奥会“放行”169名俄罗斯选手--国际--人民网,2018,1,30,4,58,http://world.people.com.cn/n1/2018/0130/c1002-29793975.html,8
33,综述：俄媒体人士认为俄中媒体交流合作方兴未艾--国际--人民网,2018,1,26,13,22,http://world.people.com.cn/n1/2018/0126/c1002-29789543.html,5
34,俄媒：2017年中国游客位列所有外国游客人数榜首--国际--人民网,2018,3,12,13,42,http://world.people.com.cn/n1/2018/0312/c1002-29862792.html,7
35,一艘载21人俄罗斯渔船在日本海失联--国际--人民网,2018,1,25,13,48,http://world.people.com.cn/n1/2018/0125/c1002-29786975.html,8
36,俄罗斯多地爆发反腐败游行--国际--人民网,2017,3,27,8,1,http://world.people.com.cn/n1/2017/0327/c1002-29170326.html,7
37,联合国发布2016年人类发展报告--国际--人民网,2017,3,22,5,0,http://world.people.com.cn/n1/2017/0322/c1002-29160142.html,8
38,俄远东犹太自治州7900公顷大面积森林火灾已扑灭--国际--人民网,2017,3,21,14,55,http://world.people.com.cn/n1/2017/0321/c1002-29159362.html,8
39,“一带一路”助力联合国2030可持续发展目标--国际--人民网,2017,4,13,8,11,http://world.people.com.cn/n1/2017/0413/c1002-29207074.html,8
